# Fictitious demo data for Microsoft 365 Copilot training. Not real customer, employee, consumer, vendor, or financial data.
Date,Channel,Region,Retail Customer,Category Platform,Brand Group,Consumer Segment,Topic,Sentiment,Feedback Text,Resolution Status,Impact Area,Recommended Follow-Up
2026-05-30,Email,Southeast,Adventure Works Foods,Easy Meals,Canned Beans,Single-person household,Product availability,Negative,My store has been out of my usual size for three weeks now.,Escalated,Availability / Distribution,Escalate to the customer team; review replenishment on core items
2026-05-31,Survey,Northeast,Northwind Grocers,Cheese & Dairy,Shredded Cheese,Convenience seeker,Labeling and nutrition,Neutral,I could not tell from the front of pack whether this was the reduced sodium version.,Escalated,Labeling / Transparency,Route to regulatory and labeling; assess clarity of on-pack information
2026-06-01,Survey,Northeast,Northwind Grocers,Easy Meals,Boxed Macaroni,Convenience seeker,Product availability,Negative,The shelf tag is there but the product never is.,Open,Availability / Distribution,Escalate to the customer team; review replenishment on core items
2026-06-02,Social,Southeast,Fabrikam Club,Substantial Snacking,Jerky Multipack,Convenience seeker,Product availability,Negative,My store has been out of my usual size for three weeks now.,Resolved,Availability / Distribution,Escalate to the customer team; review replenishment on core items
2026-06-03,Survey,West,Contoso Markets,Coffee & Beverages,Single Serve Coffee,Loyalist,Packaging,Negative,The resealable tab stopped sticking after the first use.,Open,Packaging / Design,Route to packaging engineering; review closure and opening force
2026-06-04,Retailer Review,Northeast,Northwind Grocers,Easy Meals,Skillet Meal Kits,Single-person household,Product availability,Neutral,"Found most of what I wanted, one variety was missing.",In Progress,Availability / Distribution,Monitor; confirm whether the gap is assortment or replenishment driven
2026-06-05,Consumer Care Line,Midwest,Fabrikam Club,Taste Elevation,Tomato Paste,Value seeker,Promotion and coupon,Negative,The advertised deal did not ring up correctly at checkout.,Escalated,Promotion / Trade Execution,Confirm promo setup with the customer team; verify coupon redemption path
2026-06-06,Brand Website,Northeast,Fabrikam Club,Taste Elevation,BBQ Sauce,Value seeker,Product experience,Positive,Quality has been consistent every time I buy it.,In Progress,Product Quality / Consistency,Share positive feedback with the brand team; no action needed
2026-06-07,Email,Northeast,Fabrikam Club,Taste Elevation,BBQ Sauce,Household with children,Product experience,Positive,My family switched back after trying the new variety.,Resolved,Product Quality / Consistency,Share positive feedback with the brand team; no action needed
2026-06-08,Social,Southeast,Tailspin Convenience,Cheese & Dairy,Cheese Slices,Household with children,eCommerce and delivery,Negative,My online order substituted a completely different flavor without asking.,Open,eCommerce / Fulfillment,Work with the retailer's digital team on substitution rules and packing standards
2026-06-09,Retailer Review,South Central,Fabrikam Club,Cheese & Dairy,Cream Cheese Tub,Value seeker,Labeling and nutrition,Neutral,Ingredient list wording changed and I was not sure why.,Escalated,Labeling / Transparency,Route to regulatory and labeling; assess clarity of on-pack information
2026-06-10,Consumer Care Line,West,Contoso Markets,Taste Elevation,Mayonnaise,Loyalist,eCommerce and delivery,Negative,The item showed available online and then was refunded after delivery.,Resolved,eCommerce / Fulfillment,Work with the retailer's digital team on substitution rules and packing standards
2026-06-11,Social,South Central,Adventure Works Foods,Substantial Snacking,Jerky Multipack,Household with children,Product experience,Positive,The new pack size is exactly right for my household.,Resolved,Product Quality / Consistency,Share positive feedback with the brand team; no action needed
2026-06-12,Consumer Care Line,Midwest,Northwind Grocers,Taste Elevation,Ketchup Squeeze,Single-person household,Product availability,Negative,My store has been out of my usual size for three weeks now.,Open,Availability / Distribution,Escalate to the customer team; review replenishment on core items
2026-06-13,Social,Midwest,Northwind Grocers,Easy Meals,Skillet Meal Kits,Loyalist,Packaging,Negative,The seal split before I got the package home from the store.,Resolved,Packaging / Design,Route to packaging engineering; review closure and opening force
2026-06-14,Consumer Care Line,Southeast,Northwind Grocers,Taste Elevation,Ketchup Glass,Household with children,Product experience,Positive,The new pack size is exactly right for my household.,In Progress,Product Quality / Consistency,Share positive feedback with the brand team; no action needed
2026-06-15,Email,South Central,Northwind Grocers,Easy Meals,Canned Pasta,Household with children,Customer service,Positive,The person I spoke with resolved my issue on the first call.,In Progress,Consumer Care,Share positive feedback with the care team; no action needed
2026-06-16,Consumer Care Line,West,Northwind Grocers,Coffee & Beverages,Ground Coffee,Convenience seeker,Product availability,Negative,My store has been out of my usual size for three weeks now.,Open,Availability / Distribution,Escalate to the customer team; review replenishment on core items
2026-06-17,Retailer Review,Northeast,Contoso Markets,Easy Meals,Skillet Meal Kits,Loyalist,eCommerce and delivery,Negative,My online order substituted a completely different flavor without asking.,Resolved,eCommerce / Fulfillment,Work with the retailer's digital team on substitution rules and packing standards
2026-06-18,Brand Website,Southeast,Adventure Works Foods,Cheese & Dairy,Cream Cheese Brick,Single-person household,Promotion and coupon,Negative,The display sign said one price and the register said another.,Open,Promotion / Trade Execution,Confirm promo setup with the customer team; verify coupon redemption path
2026-06-19,Retailer Review,Midwest,Northwind Grocers,Cheese & Dairy,Shredded Cheese,Loyalist,Product availability,Negative,The shelf tag is there but the product never is.,Resolved,Availability / Distribution,Escalate to the customer team; review replenishment on core items
2026-06-20,Social,South Central,Adventure Works Foods,Taste Elevation,Mayonnaise,Loyalist,Promotion and coupon,Negative,The advertised deal did not ring up correctly at checkout.,In Progress,Promotion / Trade Execution,Confirm promo setup with the customer team; verify coupon redemption path
2026-06-21,Survey,West,Northwind Grocers,Substantial Snacking,Snack Cheese Cups,Convenience seeker,Labeling and nutrition,Neutral,The nutrition panel is hard to read on the smaller package.,Resolved,Labeling / Transparency,Route to regulatory and labeling; assess clarity of on-pack information
2026-06-22,Consumer Care Line,Southeast,Northwind Grocers,Easy Meals,Ready Soups,Household with children,Product availability,Neutral,Availability improved compared with last month.,Escalated,Availability / Distribution,Monitor; confirm whether the gap is assortment or replenishment driven
2026-06-23,Brand Website,Midwest,Northwind Grocers,Substantial Snacking,String Cheese,Convenience seeker,Product availability,Negative,The shelf tag is there but the product never is.,Resolved,Availability / Distribution,Escalate to the customer team; review replenishment on core items
2026-06-24,Brand Website,Midwest,Contoso Markets,Substantial Snacking,Snack Cheese Cups,Loyalist,Packaging,Negative,The seal split before I got the package home from the store.,Open,Packaging / Design,Route to packaging engineering; review closure and opening force
2026-06-25,Social,Midwest,Adventure Works Foods,Coffee & Beverages,Single Serve Coffee,Convenience seeker,Product availability,Neutral,"Found most of what I wanted, one variety was missing.",Resolved,Availability / Distribution,Monitor; confirm whether the gap is assortment or replenishment driven
2026-06-26,Brand Website,South Central,Adventure Works Foods,Taste Elevation,Ketchup Squeeze,Single-person household,Price and value,Negative,It costs more here than at the club store for the same size.,Escalated,Pricing / Value,Share with revenue management; evaluate pack-price architecture
2026-06-27,Brand Website,South Central,Fabrikam Club,Easy Meals,Skillet Meal Kits,Household with children,Product availability,Negative,The shelf tag is there but the product never is.,Resolved,Availability / Distribution,Escalate to the customer team; review replenishment on core items
2026-06-28,Social,West,Contoso Markets,Coffee & Beverages,Drink Mix Sticks,Household with children,Customer service,Positive,"I got a response to my email the same day, which I did not expect.",Resolved,Consumer Care,Share positive feedback with the care team; no action needed
2026-06-29,Retailer Review,South Central,Contoso Markets,Cheese & Dairy,Cheese Slices,Value seeker,Product experience,Positive,The new pack size is exactly right for my household.,Resolved,Product Quality / Consistency,Share positive feedback with the brand team; no action needed
2026-06-30,Retailer Review,South Central,Northwind Grocers,Cheese & Dairy,Cream Cheese Tub,Single-person household,eCommerce and delivery,Negative,My online order substituted a completely different flavor without asking.,In Progress,eCommerce / Fulfillment,Work with the retailer's digital team on substitution rules and packing standards
2026-07-01,Email,Midwest,Contoso Markets,Coffee & Beverages,Single Serve Coffee,Value seeker,Packaging,Negative,The resealable tab stopped sticking after the first use.,Resolved,Packaging / Design,Route to packaging engineering; review closure and opening force
2026-07-02,Social,Northeast,Tailspin Convenience,Substantial Snacking,Jerky Multipack,Value seeker,Customer service,Positive,"I got a response to my email the same day, which I did not expect.",Resolved,Consumer Care,Share positive feedback with the care team; no action needed
2026-07-03,Retailer Review,Midwest,Northwind Grocers,Taste Elevation,Ketchup Glass,Convenience seeker,Packaging,Negative,The seal split before I got the package home from the store.,Resolved,Packaging / Design,Route to packaging engineering; review closure and opening force
2026-07-04,Social,Northeast,Contoso Markets,Taste Elevation,Ketchup Glass,Single-person household,eCommerce and delivery,Negative,The item showed available online and then was refunded after delivery.,In Progress,eCommerce / Fulfillment,Work with the retailer's digital team on substitution rules and packing standards
2026-07-05,Retailer Review,South Central,Tailspin Convenience,Taste Elevation,Tomato Paste,Loyalist,Product availability,Neutral,"Found most of what I wanted, one variety was missing.",Resolved,Availability / Distribution,Monitor; confirm whether the gap is assortment or replenishment driven
2026-07-06,Email,Midwest,Northwind Grocers,Coffee & Beverages,Single Serve Coffee,Convenience seeker,eCommerce and delivery,Negative,The delivery arrived with the outer carton crushed.,In Progress,eCommerce / Fulfillment,Work with the retailer's digital team on substitution rules and packing standards
2026-07-07,Survey,Northeast,Adventure Works Foods,Taste Elevation,Salad Dressing,Loyalist,Price and value,Negative,The price went up and the package looks smaller than it used to.,Open,Pricing / Value,Share with revenue management; evaluate pack-price architecture
2026-07-08,Brand Website,Midwest,Fabrikam Club,Easy Meals,Boxed Macaroni,Household with children,Promotion and coupon,Negative,The advertised deal did not ring up correctly at checkout.,Open,Promotion / Trade Execution,Confirm promo setup with the customer team; verify coupon redemption path
2026-07-09,Consumer Care Line,South Central,Contoso Markets,Substantial Snacking,Jerky Multipack,Household with children,eCommerce and delivery,Negative,The delivery arrived with the outer carton crushed.,Escalated,eCommerce / Fulfillment,Work with the retailer's digital team on substitution rules and packing standards
2026-07-10,Email,South Central,Northwind Grocers,Substantial Snacking,Jerky Multipack,Household with children,Product experience,Positive,The new pack size is exactly right for my household.,In Progress,Product Quality / Consistency,Share positive feedback with the brand team; no action needed
2026-07-11,Social,Midwest,Northwind Grocers,Cheese & Dairy,Cheese Slices,Single-person household,Product experience,Positive,My family switched back after trying the new variety.,Resolved,Product Quality / Consistency,Share positive feedback with the brand team; no action needed
2026-07-12,Retailer Review,South Central,Fabrikam Club,Easy Meals,Skillet Meal Kits,Loyalist,Product experience,Positive,Quality has been consistent every time I buy it.,In Progress,Product Quality / Consistency,Share positive feedback with the brand team; no action needed
2026-07-13,Brand Website,Northeast,Contoso Markets,Cheese & Dairy,Cream Cheese Tub,Value seeker,eCommerce and delivery,Negative,My online order substituted a completely different flavor without asking.,Escalated,eCommerce / Fulfillment,Work with the retailer's digital team on substitution rules and packing standards
2026-07-14,Brand Website,Midwest,Tailspin Convenience,Cheese & Dairy,Shredded Cheese,Single-person household,Product experience,Positive,My family switched back after trying the new variety.,Resolved,Product Quality / Consistency,Share positive feedback with the brand team; no action needed
2026-07-15,Survey,West,Tailspin Convenience,Taste Elevation,Tomato Paste,Single-person household,Packaging,Negative,The new cap is very hard to open and I needed help with it.,Resolved,Packaging / Design,Route to packaging engineering; review closure and opening force
2026-07-16,Social,Northeast,Fabrikam Club,Easy Meals,Ready Soups,Convenience seeker,Price and value,Negative,Hard to justify the price when the store brand is right next to it.,Resolved,Pricing / Value,Share with revenue management; evaluate pack-price architecture
2026-07-17,Email,Midwest,Contoso Markets,Coffee & Beverages,Single Serve Coffee,Convenience seeker,Packaging,Negative,The seal split before I got the package home from the store.,Resolved,Packaging / Design,Route to packaging engineering; review closure and opening force
2026-07-18,Survey,Southeast,Northwind Grocers,Taste Elevation,BBQ Sauce,Single-person household,eCommerce and delivery,Negative,The item showed available online and then was refunded after delivery.,Escalated,eCommerce / Fulfillment,Work with the retailer's digital team on substitution rules and packing standards
2026-07-19,Consumer Care Line,Midwest,Contoso Markets,Easy Meals,Canned Beans,Convenience seeker,Promotion and coupon,Negative,The advertised deal did not ring up correctly at checkout.,Open,Promotion / Trade Execution,Confirm promo setup with the customer team; verify coupon redemption path
2026-07-20,Brand Website,Northeast,Fabrikam Club,Easy Meals,Ready Soups,Household with children,Product experience,Neutral,The texture seemed different from the last package I bought.,Resolved,Product Quality / Consistency,Log with quality and R&D for consistency review; no safety concern indicated
2026-07-21,Email,South Central,Adventure Works Foods,Coffee & Beverages,Drink Mix Canister,Value seeker,Product experience,Positive,My family switched back after trying the new variety.,Resolved,Product Quality / Consistency,Share positive feedback with the brand team; no action needed
2026-07-22,Social,Northeast,Contoso Markets,Cheese & Dairy,Shredded Cheese,Loyalist,Product availability,Neutral,"Found most of what I wanted, one variety was missing.",In Progress,Availability / Distribution,Monitor; confirm whether the gap is assortment or replenishment driven
2026-07-23,Email,West,Adventure Works Foods,Easy Meals,Boxed Macaroni,Loyalist,Promotion and coupon,Negative,The advertised deal did not ring up correctly at checkout.,Open,Promotion / Trade Execution,Confirm promo setup with the customer team; verify coupon redemption path
2026-07-24,Email,South Central,Adventure Works Foods,Taste Elevation,BBQ Sauce,Convenience seeker,Promotion and coupon,Negative,The digital coupon would not load to my loyalty account.,In Progress,Promotion / Trade Execution,Confirm promo setup with the customer team; verify coupon redemption path
2026-07-26,Survey,Southeast,Tailspin Convenience,Easy Meals,Canned Beans,Household with children,Product availability,Neutral,The club pack is usually there but the single is not.,Resolved,Availability / Distribution,Monitor; confirm whether the gap is assortment or replenishment driven
2026-07-27,Social,Northeast,Contoso Markets,Substantial Snacking,String Cheese,Single-person household,Packaging,Negative,The resealable tab stopped sticking after the first use.,Resolved,Packaging / Design,Route to packaging engineering; review closure and opening force
2026-07-28,Email,South Central,Contoso Markets,Cheese & Dairy,Cheese Slices,Loyalist,Product availability,Neutral,Availability improved compared with last month.,Open,Availability / Distribution,Monitor; confirm whether the gap is assortment or replenishment driven
2026-07-29,Retailer Review,South Central,Contoso Markets,Taste Elevation,BBQ Sauce,Convenience seeker,Product availability,Neutral,"Found most of what I wanted, one variety was missing.",Open,Availability / Distribution,Monitor; confirm whether the gap is assortment or replenishment driven
2026-07-30,Retailer Review,South Central,Adventure Works Foods,Easy Meals,Canned Beans,Loyalist,Packaging,Negative,The new cap is very hard to open and I needed help with it.,In Progress,Packaging / Design,Route to packaging engineering; review closure and opening force
2026-07-31,Survey,Southeast,Tailspin Convenience,Coffee & Beverages,Drink Mix Canister,Loyalist,Packaging,Negative,The new cap is very hard to open and I needed help with it.,Resolved,Packaging / Design,Route to packaging engineering; review closure and opening force
2026-08-01,Brand Website,Northeast,Tailspin Convenience,Taste Elevation,Mayonnaise,Household with children,Product availability,Negative,"I can only find the large size, never the one I actually buy.",Open,Availability / Distribution,Escalate to the customer team; review replenishment on core items
2026-08-02,Consumer Care Line,South Central,Fabrikam Club,Coffee & Beverages,Drink Mix Canister,Loyalist,Product experience,Positive,The new pack size is exactly right for my household.,Resolved,Product Quality / Consistency,Share positive feedback with the brand team; no action needed
2026-08-03,Survey,Southeast,Adventure Works Foods,Easy Meals,Ready Soups,Single-person household,eCommerce and delivery,Negative,The delivery arrived with the outer carton crushed.,In Progress,eCommerce / Fulfillment,Work with the retailer's digital team on substitution rules and packing standards
2026-08-04,Retailer Review,South Central,Northwind Grocers,Taste Elevation,Tomato Paste,Convenience seeker,Product availability,Neutral,Availability improved compared with last month.,In Progress,Availability / Distribution,Monitor; confirm whether the gap is assortment or replenishment driven
2026-08-05,Survey,South Central,Northwind Grocers,Coffee & Beverages,Single Serve Coffee,Value seeker,Product availability,Negative,"I can only find the large size, never the one I actually buy.",Resolved,Availability / Distribution,Escalate to the customer team; review replenishment on core items
2026-08-06,Social,West,Adventure Works Foods,Easy Meals,Boxed Macaroni,Single-person household,Labeling and nutrition,Neutral,I could not tell from the front of pack whether this was the reduced sodium version.,Resolved,Labeling / Transparency,Route to regulatory and labeling; assess clarity of on-pack information
2026-08-07,Social,Midwest,Tailspin Convenience,Taste Elevation,Salad Dressing,Loyalist,Labeling and nutrition,Neutral,I could not tell from the front of pack whether this was the reduced sodium version.,Resolved,Labeling / Transparency,Route to regulatory and labeling; assess clarity of on-pack information
2026-08-08,Retailer Review,Northeast,Adventure Works Foods,Cheese & Dairy,Cream Cheese Brick,Single-person household,Product experience,Neutral,Flavor was fine but not quite what I expected from the new recipe.,Open,Product Quality / Consistency,Log with quality and R&D for consistency review; no safety concern indicated
2026-08-09,Consumer Care Line,South Central,Contoso Markets,Easy Meals,Skillet Meal Kits,Household with children,Product availability,Negative,The shelf tag is there but the product never is.,In Progress,Availability / Distribution,Escalate to the customer team; review replenishment on core items
2026-08-11,Retailer Review,West,Tailspin Convenience,Substantial Snacking,String Cheese,Convenience seeker,eCommerce and delivery,Negative,The item showed available online and then was refunded after delivery.,In Progress,eCommerce / Fulfillment,Work with the retailer's digital team on substitution rules and packing standards
2026-08-14,Survey,Midwest,Contoso Markets,Coffee & Beverages,Ground Coffee,Single-person household,Promotion and coupon,Negative,The digital coupon would not load to my loyalty account.,Resolved,Promotion / Trade Execution,Confirm promo setup with the customer team; verify coupon redemption path
2026-08-15,Brand Website,Southeast,Tailspin Convenience,Easy Meals,Ready Soups,Value seeker,Customer service,Positive,The person I spoke with resolved my issue on the first call.,In Progress,Consumer Care,Share positive feedback with the care team; no action needed
